handle,name,developer,description,rating,reviews,category,has_free_plan,min_price,max_price,url
popcustoms,POPCUSTOMS: Print on Demand,popcustoms,"We supply POD sneakers, clothing,  women bags, ornaments , hats, blankets, etc.  and provide drop shipping ,branding, personalization, warehousing service.",4.3,25.0,finding-products-sourcing-options-print-on-demand-pod,True,,,https://apps.shopify.com/popcustoms
magic-upsell,Magic Upsell & Cross Sell,Uptek,"Boost your Shopify store's sales and AOV with Magic Upsell's personalized cross-sell widget. Easy setup, AI-driven recommendations & seamless integration.",4.6,16.0,marketing-and-conversion-upsell-and-bundles-upsell-and-cross-sell,True,,,https://apps.shopify.com/magic-upsell
delivery-note-pdf,[ジョーレン]納品書発行アプリ,株式会社ジョーレン,,,,orders-and-shipping-orders-invoices-and-receipts,True,,,https://apps.shopify.com/delivery-note-pdf
redeye,RedEye,RedEye,,,,,True,,,https://apps.shopify.com/redeye
shopflowtools-bulk-fulfill,Bulk Tracking Upload,ShopFlowTools,"Fulfill hundreds of orders in seconds. Upload tracking CSV files from any supplier or carrier, auto-map columns, and notify customers in one click.
",5.0,1.0,orders-and-shipping-orders-order-editing,True,2.99,9.99,https://apps.shopify.com/shopflowtools-bulk-fulfill
index-ai-brandup,Index AI ‑ Get Found by AI,BrandUp Factory GmbH,,5.0,1.0,store-design-site-optimization-seo,True,9.99,49.99,https://apps.shopify.com/index-ai-brandup
constructor-connect,Constructor Connect,Constructor.io,"Connects shoppers with the right products at the right time by ingesting their full behavioral clickstream, then applying reinforcement learning ",,,store-design-search-and-navigation-search-and-filters,True,,,https://apps.shopify.com/constructor-connect
fide-request-quote-hide-price,FIDE Request Quote Hide Price,Fide Labs,"Let customers request quotes on your Shopify store. Hide prices, manage and approve quotes, and turn them into draft orders. Free B2B quote app by FIDE.",,,selling-products-pricing-pricing-quotes,True,,,https://apps.shopify.com/fide-request-quote-hide-price
jigsaw-puzzle,Prizzzle,3D 360 Extended Reality Technologies Private Limited,,,,store-design-notifications-pop-ups,True,5.0,5.0,https://apps.shopify.com/jigsaw-puzzle
ramp-logistics,RAMP Logistics ,Logixgrid Technologies,,,,orders-and-shipping-shipping-solutions-delivery-and-pickup,True,,,https://apps.shopify.com/ramp-logistics
google-css-shopxyz-comparison-shopping-partner,AR: Google CSS Program Partner,Apps Robots,ShopXYZ - A Premium Google Comparison Shopping Services (CSS) Partner. Participate in Google Shopping auctions with 20% discount on clicks (Europe only).,5.0,4.0,,True,,,https://apps.shopify.com/google-css-shopxyz-comparison-shopping-partner
qf-neon-sign-customizer,QF Neon Sign Customizer,QF Network,"Let customers design neon, LED & wood signs with live previews, accurate sizing, fonts & colors. Turn custom ideas into products effortlessly.",,,,True,29.99,29.99,https://apps.shopify.com/qf-neon-sign-customizer
shoplocal-store-locator,ShopLocal Store Locator,Dart Studios by Piric Group,ShopLocal Store Locator helps wholesale businesses easily manage their retail store locations with Google Sheets,4.7,20.0,sales-channels-selling-in-person-store-locator,True,9.0,29.0,https://apps.shopify.com/shoplocal-store-locator
ninja-cart-button-animator,Ninja Cart Button Animator,WebNinjaz Technologies Pvt Ltd,,,,,True,2.49,2.49,https://apps.shopify.com/ninja-cart-button-animator
megashelf,MegaShelf | Visual Mega Menu,INFANT CARE,"Build sidebar-tab mega menus with collection image grids, mobile accordion, live preview, 10 templates, 10 color palettes, and video embeds. Free plan. No code.",,,store-design-search-and-navigation-navigation-and-menus,True,4.99,4.99,https://apps.shopify.com/megashelf
gyftr-1,GyFTR,Vouchagram India Pvt Ltd,,,,,True,,,https://apps.shopify.com/gyftr-1
sms-notify-sms-gateway-center,SMS Notify ‑SMS Gateway Center,SMS Gateway Center,,5.0,7.0,marketing-and-conversion-marketing-sms-marketing,False,,,https://apps.shopify.com/sms-notify-sms-gateway-center
completa-il-look-dev,Look‑It,Guido Pardini,"Add a Complete the Look section to your Shopify product pages. One-click outfit builder with bundle discount. Works with any theme, no coding required.",,,marketing-and-conversion-upsell-and-bundles-upsell-and-cross-sell,True,9.0,21.0,https://apps.shopify.com/completa-il-look-dev
order-editing-self-service,OT : Easy Order Editing,Ordertweak,"Boost your Shopify store with OrderTweak. Simplify post-checkout edits, reduce cart abandonment, and enhance customer satisfaction with seamless order managemen",,,orders-and-shipping-orders-order-editing,True,,,https://apps.shopify.com/order-editing-self-service
star-product-labels,STAR Product Labels,MageComp,Create custom product stickers/labels & sales popups to tempt more customers. Upsell products with personalized labels & sales messages with improved UX.,4.4,8.0,store-design-design-elements-badges-and-icons,True,,,https://apps.shopify.com/star-product-labels
sb-free-shipping-bar,SB (Free Shipping Bar),TenGrowth,,,,,True,6.95,6.95,https://apps.shopify.com/sb-free-shipping-bar
gazebo-configurator,GazeboLab Product Configurator,RVS MEDIA,,,,,True,9.0,29.0,https://apps.shopify.com/gazebo-configurator
twinny,Twinny,Twinny,,,,,False,,,https://apps.shopify.com/twinny
lionz-apps-sync,eBay Sync & Importer LionzApps,Lionz GmbH,"Seamlessly export your Shopify products to eBay, sync orders effortlessly, and keep product data up-to-date. Try free for 30 days with all features.",4.9,226.0,sales-channels-selling-online-marketplaces,True,9.99,9.99,https://apps.shopify.com/lionz-apps-sync
file-upload-field,ThanhBT: File Upload,ThanhBT App,Add file upload to any Shopify form. Files saved to Google Drive with custom folders and file names. Works with Klaviyo forms too.,5.0,1.0,store-design-notifications-forms,True,3.95,14.95,https://apps.shopify.com/file-upload-field
cashflo,Cashflo,Cashflo,,5.0,1.0,store-management-operations-analytics,True,,,https://apps.shopify.com/cashflo
wishfinity-universal-wishlist,+Wishfinity Social Wishlist,EGGTOOTH,,3.0,1.0,marketing-and-conversion-customer-loyalty-wishlists,True,,,https://apps.shopify.com/wishfinity-universal-wishlist
feedhub-for-google-shopping,FeedHub: Google Shopping Feed,OneCommerce,"Create customizable product feeds for multiple markets - Google Merchant Center, Google Shopping, Facebook Shops,  Facebook Catalog, TikTok Shop & Catalog.",4.9,406.0,sales-channels-selling-online-product-feeds,True,9.9,49.9,https://apps.shopify.com/feedhub-for-google-shopping
shoptank,Shoptank: Rank in AI Search,Libautech,"Get found by ChatGPT, Perplexity & AI assistants. Shoptank adds schema markup, llms.txt, and brand monitoring so AI knows your store and sends you customers.",5.0,2.0,store-design-site-optimization-seo,True,14.99,399.99,https://apps.shopify.com/shoptank
brambles-ai,Brambles.ai: AI Chatbot & AR,Brambles.ai,"AI chatbot agent for ecommerce that boosts conversions with customer support, product discovery, and virtual try-on so shoppers can see products before buying. ",,,store-management-support-chat,True,29.0,199.0,https://apps.shopify.com/brambles-ai
ai-product-image-editor,AICRAFT ‑ Product Image Editor,Sell Quicky,"Turn any product photo into a polished, on-brand shot with AI. Try outfits on models, fix lighting, publish to Shopify in one click. No designer needed.",,,store-design-images-and-media-image-editor,True,6.99,49.99,https://apps.shopify.com/ai-product-image-editor
super-product-bundle,Super Product Bundle Discount,ShopUpUp,Boost your average order value with product bundles and tiered discounts. Create fixed sets or customizable bundles. No coding required. 7-day free trial.,,,marketing-and-conversion-upsell-and-bundles-product-bundles,True,9.9,29.9,https://apps.shopify.com/super-product-bundle
shipdate-estimate-shipping,Shipdate,Forged Apps,,5.0,1.0,orders-and-shipping-shipping-solutions-shipping,True,7.0,15.0,https://apps.shopify.com/shipdate-estimate-shipping
action-forms,Action Forms,KKDUNIYA,"ActionForm helps to create beautiful forms without coding. Drag-and-drop builder, email notifications, submissions management and responsive.",,,store-design-notifications-forms,True,,,https://apps.shopify.com/action-forms
robot-speed,Robot‑Speed AI Visibility SEO,Kleap technologies sa ,"See if ChatGPT and AI search can find your store. Free SEO + AI-visibility audit, then 7 AI agents fix and grow your SEO on autopilot.",,,store-design-site-optimization-seo,True,129.0,129.0,https://apps.shopify.com/robot-speed
marktplaats,Marktplaats Pro,Woosa,,3.2,7.0,sales-channels-selling-online-marketplaces,True,,,https://apps.shopify.com/marktplaats
stock-sheet,My Stock Sheet: Excel Products,WORLD WIDE ZOO SRL,,5.0,2.0,,True,9.99,29.99,https://apps.shopify.com/stock-sheet
wholesale-b2b,CC ‑ Wholesale B2B Pricing,CartCoders,"Shopify Wholesale B2B pricing, volume discount tiers, signup forms, customer approvals & access controls — all in one Shopify app by CartCoders.",5.0,9.0,marketing-and-conversion-promotions-discounts,True,14.99,29.99,https://apps.shopify.com/wholesale-b2b
youtube-latest-video-carousel,CITS TubeShow Carousel,Cits,,,,,True,,,https://apps.shopify.com/youtube-latest-video-carousel
ai-3d-models-generator,AI 3D Model Generator,Polar Bear Commerce,"Turn product photos into interactive 3D models. Let customers rotate, zoom, and explore products in 3D. Boost engagement and reduce returns with realistic produ",,,store-design-images-and-media-3d-ar-vr,True,,,https://apps.shopify.com/ai-3d-models-generator
full-roas-calculations,Full ROAS Calculations,MEDIAPERFORM,,,,,False,,,https://apps.shopify.com/full-roas-calculations
blog-posts-likes,Ahoi Apps: Blog Posts Likes,Ahoi Apps,Enhance your shop blog posts: Add like and dislike buttons and feature the most liked articles. Boost engagement and gain insights. Elevate your content today!,5.0,2.0,,True,1.99,1.99,https://apps.shopify.com/blog-posts-likes
xboost-post-purchase-upsell,XB: Post Purchase Upsell,Xboost,,5.0,4.0,marketing-and-conversion-upsell-and-bundles-upsell-and-cross-sell,True,,,https://apps.shopify.com/xboost-post-purchase-upsell
quickshopreviews,QuickShopReviews,BlueHorse Software Solutions Pvt Ltd,Collect and manage customer reviews and testimonials with an easy-to-use product review app and testimonial app designed to fit any Shopify store layout.,,,marketing-and-conversion-social-trust-product-reviews,True,,,https://apps.shopify.com/quickshopreviews
app51-facturacion,Datos Boleta/Factura Chile,Lab51,"Solicita RUT, razón social y otros datos tributarios en carrito, checkout o POS. Usa los datos para generar documentos con tu facturador electrónico.",,,marketing-and-conversion-checkout-cart-customization,True,8.0,40.0,https://apps.shopify.com/app51-facturacion
cali-event-calendar,Calee: Events Calendar Widget,Adevole,,4.7,38.0,selling-products-digital-goods-and-services-event-booking,True,6.95,6.95,https://apps.shopify.com/cali-event-calendar
apollo-bundle-upselling,Apollo Bundle Quantity Breaks,Apollo,,5.0,2.0,marketing-and-conversion-upsell-and-bundles-product-bundles,True,9.9,9.9,https://apps.shopify.com/apollo-bundle-upselling
braintree-products-app,Braintree Products,Braintree Products,"Our Diamond App is designed to elevate your jewelry store by providing an intuitive and interactive platform for customers to explore, select,",,,store-design-storefronts-page-builder,True,,,https://apps.shopify.com/braintree-products-app
capital-one-shopping,Capital One Shopping,Capital One Ad Solutions,Drive incremental revenue by connecting your Shopify store to the Capital One Shopping app.,,,,True,,,https://apps.shopify.com/capital-one-shopping
ai-chatbot-v1,Viden ‑ AI Chatbot,Webshopsskolen ApS,,,,store-management-support-chat,True,47.0,79.0,https://apps.shopify.com/ai-chatbot-v1
transcend,Transcend,Transcend,,,,,True,,,https://apps.shopify.com/transcend
supercart-1,Supercart,"ApollosWave, LLC","Fully customizable Shopify cart drawer with powerful unlimited bundles, product recommendations, Upsells, reviews and Extra Services to increase revenue & con..",5.0,34.0,marketing-and-conversion-checkout-cart-customization,True,9.99,27.99,https://apps.shopify.com/supercart-1
hong-kong-pickup-points-2,Arietec ‑ HK Pickup Points,Arie Technology,為 Shopify 商店加入順豐提貨點、智能櫃及門市提貨功能，簡化結帳流程，自動填寫地址，提升顧客購物體驗。,,,orders-and-shipping-shipping-solutions-delivery-and-pickup,True,4.99,14.99,https://apps.shopify.com/hong-kong-pickup-points-2
bundlora,Bundlora BYOB & Bundle Builder,TheLeanApps,"Create mix-and-match, quantity-based, or BOGO bundle builders for your store. Automatic discounts, product filtering, and built-in analytics included.",,,marketing-and-conversion-upsell-and-bundles-product-bundles,True,9.99,9.99,https://apps.shopify.com/bundlora
frequently-bought-together-8,SFBT: Bought Together,Lantera,AI automatically creates frequently bought together bundles from past orders. Increase AOV with smart product bundles and bundle discounts.,,,marketing-and-conversion-upsell-and-bundles-upsell-and-cross-sell,True,9.99,29.99,https://apps.shopify.com/frequently-bought-together-8
myproductai-virtual-try-on,MyProductAI Virtual Try‑On,UltraGames Entertainment Pvt. Ltd.,"AI-powered virtual try-on that lets shoppers see themselves in your garments before buying. Works with sarees, kurtas, shirts, dresses, and most apparel.",,,,True,19.0,299.0,https://apps.shopify.com/myproductai-virtual-try-on
ri-size-chart-2,RI Size Chart,RInteger,Elevate user experience with embedded and inline modes. Reduce returns by providing accurate sizing information. Customize with images for a unique touch.,,,store-design-product-display-product-comparison,True,4.0,7.0,https://apps.shopify.com/ri-size-chart-2
blinkmetrics,BlinkMetrics,BlinkMetrics,BlinkMetrics helps Shopify store owners monitor the health of their business by pulling together data from all the apps they use to run their company. ,,,store-management-operations-analytics,False,9.0,9.0,https://apps.shopify.com/blinkmetrics
pasilobus-announcer,Pasilobus AI Announcement Bar,Pasilobus,"Add announcement bars and countdown timers to your Shopify store in seconds. AI writes sale, free-shipping, and promo banners for you. Free plan available.",5.0,1.0,store-design-notifications-banners,True,9.99,9.99,https://apps.shopify.com/pasilobus-announcer
interparcel-uk,Interparcel UK,Interparcel,,5.0,1.0,,True,,,https://apps.shopify.com/interparcel-uk
product-blobs,Common Ninja Product Blobs,Common Ninja,Product Blobs app for Shopify allows you to bring focus to products & increase conversion on your store. It's free and easy to use.,,,store-design-storefronts-page-builder,True,4.99,4.99,https://apps.shopify.com/product-blobs
posta-delivery,Posta Delivery,Postverk Føroya,,,,orders-and-shipping-shipping-solutions-shipping,True,,,https://apps.shopify.com/posta-delivery
gistmag-alt-text-generator,Gistmag Alt Text Generator,Olaverse,,,,store-design-site-optimization-seo,True,,,https://apps.shopify.com/gistmag-alt-text-generator
omnibus-price-radar,Omnibus Owl Price Tracker,Native App Co,"Automatically track and display product price history on your Shopify store. Build customer trust with transparent pricing. Easy setup, instant catalog sync. ",5.0,13.0,,True,5.0,25.0,https://apps.shopify.com/omnibus-price-radar
pixelsqueeze-image-optimizer,SwiftPixel AI,Mirai Studios,"SwiftPixel AI is a one-click Shopify image optimizer that compresses and cleans up store images to boost page speed and SEO without losing visual quality.
",,,store-design-images-and-media-image-editor,True,9.0,19.0,https://apps.shopify.com/pixelsqueeze-image-optimizer
loyal-rfm-customer-segments,Loyal • Customer Segments,Digismoothie,Segment customers by loyalty & behavior with Loyal Customer Segments app. Identify valuable customers for targeted marketing and improve retention.,5.0,10.0,store-management-operations-analytics,False,4.99,4.99,https://apps.shopify.com/loyal-rfm-customer-segments
sender-email-sms,Sender Email Marketing & SMS,Sender.net,,4.7,11.0,marketing-and-conversion-marketing-email-marketing,True,10.0,20.0,https://apps.shopify.com/sender-email-sms
profitplants,ProfitPlants,Jaydenwnaylon,"Engage and retain customers with ProfitPlants. Gamify your store by letting customers plant virtual trees with every purchase, boosting your shopify sales.",,,,True,,,https://apps.shopify.com/profitplants
webdialogai,WebDialogAI,WebdialogAI,"Add an AI-powered chat widget to your Shopify store. Automate product recommendations, order tracking, and customer support. Train AI on your store in one click",,,store-management-support-chat,True,19.0,79.0,https://apps.shopify.com/webdialogai
store-radar,Store Radar ‑ Ourava,CoreLink,"Send Slack alerts for stock, sold out products, orders, refunds, fulfillment delays, cancellations, and daily store summaries.",,,store-management-operations-staff-notifications,True,,,https://apps.shopify.com/store-radar
dns-settings-records-servers,PH Automated DNS records setup,Programmer Hat,,,,store-management-operations-workflow-automation,True,,,https://apps.shopify.com/dns-settings-records-servers
quick-add-to-cart-button,EZ ‑ Quick Buy & Quick View,WizeSaaS,Quick Buy Button Shopify App lets customers buy products directly from the homepage and collection pages. Enhance conversion rates. Skip to Checkout.,3.0,5.0,marketing-and-conversion-checkout-cart-customization,True,8.99,39.99,https://apps.shopify.com/quick-add-to-cart-button
agecheck-1,年齢確認ポップアップ・酒類対応 ‑ AgeCheck,Psyve Inc.,酒類など年齢確認が必要な商品を扱うストアに、年齢確認ポップアップとカートのチェックボックスをコード編集なしで追加。対象商品の指定や生年月日での判定にも対応。7日間の無料トライアルで今すぐお試しください。,,,store-management-security-legal,True,5.0,5.0,https://apps.shopify.com/agecheck-1
ask-oskar,ask Oskar: AI Chat Assistant,DBG Digital Brands Group GmbH,"Boost your Shopify store’s customer engagement with AskOskar, the AI-powered chatbot. Deliver 24/7 support, drive sales, and enhance user experience.",,,store-management-support-chat,True,15.0,99.0,https://apps.shopify.com/ask-oskar
stocksafe-bundles,StockSafe Bundle Inventory,stocksafe,"See true per-location stock for every bundle, know exactly why a bundle shows 0, and get an audit trail — multi-location bundle inventory accuracy.",,,,True,19.0,99.0,https://apps.shopify.com/stocksafe-bundles
trackify-1,"Trackify Facebook Pixel,TikTok",Trackify X,"Boost your Shopify Store's ROAS & Retargeting Ads! Trackify Facebook pixel Shopify App for Multi Pixel, TikTok, Meta w/ Conversion API & Server-Side tracking.",4.8,350.0,marketing-and-conversion-advertising-ads,True,8.99,28.99,https://apps.shopify.com/trackify-1
orbits-smart-wishlist,Orbits: Smart Wishlist,OrbitsDev,"Add a smart wishlist to your Shopify store. One-tap save button, guest wishlists, drawer or page, live pricing, share links, and analytics. No code required.",,,marketing-and-conversion-customer-loyalty-wishlists,True,,,https://apps.shopify.com/orbits-smart-wishlist
reviewley,Reviewley,Codefly,"Automate customer product reviews via email. Build trust with beautiful widgets, photo reviews, and Google Rich Snippets. Easy import from Loox and Judge.me.",,,marketing-and-conversion-social-trust-product-reviews,True,9.99,9.99,https://apps.shopify.com/reviewley
camweara-ring-sizer,Camweara Ring Sizer,camweara,Help customers find the perfect ring size with Camweara Ring Sizer. Add an interactive ring size finder and customizable size charts to reduce returns and boost,5.0,4.0,store-design-product-display-product-comparison,True,39.0,89.0,https://apps.shopify.com/camweara-ring-sizer
gst-invoice-pro,GST Pro: GST Invoice India,Astral,,5.0,239.0,orders-and-shipping-orders-invoices-and-receipts,True,9.9,69.98,https://apps.shopify.com/gst-invoice-pro
stickify-cta,Stickify CTA,Blend Media,"Stickify is the Shopify CTA app that helps you create high-converting call to action Shopify buttons, banners, and sticky offers.",,,store-design-notifications-banners,True,2.99,2.99,https://apps.shopify.com/stickify-cta
brush-checkout-branding,Brush ‑ Checkout Branding,Konstantin Barashkov,"Customize your checkout. Control branding, fonts, button styles, and forms. Apply ready-made themes and use version history to roll back changes anytime.",,,,True,23.0,23.0,https://apps.shopify.com/brush-checkout-branding
countdown-catalyst,Countdown Catalyst,Snow John,"Add customizable countdown timers to products, cart, and store to create urgency, run flash sales, and reduce cart abandonment.",,,marketing-and-conversion-upsell-and-bundles-countdown-timer,True,,,https://apps.shopify.com/countdown-catalyst
statty-dashboard,Statty AI CEO Power Dashboard,Eye4tech,,,,,False,29.0,99.0,https://apps.shopify.com/statty-dashboard
smaily-email-marketing-automations-1,Smaily Connect,Smaily,Smaily Campaign Intelligence writes personalised product picks into every campaign — and learns from what your customers actually buy.,,,marketing-and-conversion-marketing-email-marketing,True,,,https://apps.shopify.com/smaily-email-marketing-automations-1
aa-virtual-tryon,A&A Virtual Try‑On,A&A Technologies,Boost conversions and reduce returns with our AI‑powered Virtual Try‑On app for Shopify fashion stores. Let customers preview outfits see how clothes fit online,4.9,2.0,store-design-images-and-media-3d-ar-vr,True,49.99,249.99,https://apps.shopify.com/aa-virtual-tryon
kestori,Kestori,Forethought Studio,Daily low-stock digest using sales velocity for Stocky users.,,,marketing-and-conversion-upsell-and-bundles-stock-alerts,True,19.0,19.0,https://apps.shopify.com/kestori
vatdi-ai-chat-agent,Vatdi – AI Chatbot Support,OCS Engine,"Vatdi is an AI chatbot for Shopify that helps merchants answer customer questions, handle FAQs, and guide product discovery with automated conversations.",5.0,2.0,store-management-support-chat,True,4.49,12.49,https://apps.shopify.com/vatdi-ai-chat-agent
expedify-marketing-automation,Expedify,Expedify,,4.0,1.0,,True,,,https://apps.shopify.com/expedify-marketing-automation
navidium-shipping-protection,Navidium Shipping Protection,Navidium Apps,"Alternative to shipping insurance, self-fund your own shipping protection with our integrated widget. Route Shipping Protection fees to yourself. Keep 100%. ",4.8,327.0,orders-and-shipping-returns-and-warranty-warranties-and-insurance,True,29.99,99.99,https://apps.shopify.com/navidium-shipping-protection
swipewrap,Swipewrap,Swipewrap,,,,,True,,,https://apps.shopify.com/swipewrap
parsel,Parsel,Parsel,,5.0,7.0,orders-and-shipping-shipping-solutions-shipping,True,,,https://apps.shopify.com/parsel
lismoa,LISMOA,Lismoa,,,,,True,,,https://apps.shopify.com/lismoa
daisycon,Daisycon Performance Marketing,Daisycon,Boost and measure your e-commerce success with traffic and sales from the Daisycon performance based affiliate network.,3.0,2.0,marketing-and-conversion-advertising-affiliate-programs,True,,,https://apps.shopify.com/daisycon
tewatashi_production,テワタシ‑店舗受け取り&ローカルデリバリー,TAM EC,,5.0,1.0,orders-and-shipping-shipping-solutions-delivery-and-pickup,True,9.9,20.0,https://apps.shopify.com/tewatashi_production
dyrect-warranty-registrations,Warranty Registration & Claims,"Dyrect Solutions, Inc","Dyrect offers easy warranty management. Track serial numbers, manage product registration, process claims, and automate customer support.",5.0,16.0,orders-and-shipping-returns-and-warranty-warranties-and-insurance,True,19.0,149.0,https://apps.shopify.com/dyrect-warranty-registrations
vurdere,Vurdere Agentic Product Review,Vurdere,Collect and display product reviews and photo UGC on Shopify. Show different reviews based on shopper context and product usage.,,,marketing-and-conversion-social-trust-product-reviews,True,39.0,99.9,https://apps.shopify.com/vurdere
bulk-price-pro,Oruri：商品価格一括変更,ラボテック,商品価格をパーセントや固定額で一括変更できるアプリです。条件で商品を絞り込み、セールの開始と終了を予約して自動で価格を変更・復元。実行後もワンクリックで元の価格に戻せます。数万商品でも安定して処理します。,,,marketing-and-conversion-promotions-discounts,True,5.0,5.0,https://apps.shopify.com/bulk-price-pro
aci-worldwide-credit-cards,ACI Worldwide Card Payments,ACI Worldwide,,,,selling-products-payments-payment-experience,True,,,https://apps.shopify.com/aci-worldwide-credit-cards
raisers-edge-nxt-integration,Raiser's Edge NXT Integration,Red Arc,,,,,True,,,https://apps.shopify.com/raisers-edge-nxt-integration
dbstock,dbStock — Reorder & Forecast,dbit,"dbStock reads your order history and tells you exactly what to reorder and how much — corrected for lost demand and lead times, with one-click supplier POs.",,,orders-and-shipping-inventory-inventory-optimization,False,49.0,49.0,https://apps.shopify.com/dbstock
kboard,Kboard,Shopidream,,,,,True,9.99,24.99,https://apps.shopify.com/kboard
catalogrank-seo,CatalogRank SEO,CatalogRank SEO,"Audit your store, then let AI fix image alt text, meta tags and links and add structured data for both Google and screen-reader shoppers.",5.0,1.0,,True,19.0,99.0,https://apps.shopify.com/catalogrank-seo
nowutalk-app,Nowutalk AI Voice Sales Agent,"NOWUTALKAI, Inc",AI voice sales agent that talks to customers and boosts conversions with smart insights.,,,store-management-support-chat,True,,,https://apps.shopify.com/nowutalk-app
deliveri,Deliveri ‑ Modern Shipping,Deliveri,"Automate Shopify shipping with 90% savings on USPS, UPS, DHL & FedEx. Enterprise tools for early stage brands - no technical expertise required.",,,orders-and-shipping-shipping-solutions-shipping,True,,,https://apps.shopify.com/deliveri
dealkhir-donation-solution-1,Donation Solution ‑ Dealkhir,Dealkhir,"Ajoutez un don à chaque commande et laissez vos clients choisir la cause au paiement. Règles flexibles, message à votre image, gratuit.",,,marketing-and-conversion-customer-loyalty-loyalty-and-rewards,True,,,https://apps.shopify.com/dealkhir-donation-solution-1
dreamsections,DreamSections,Shopidream,"Build and customize high-quality Shopify sections quickly without coding. Perfect for merchants who want flexible, fast, and easy page design tools.",,,store-design-storefronts-page-builder,True,9.99,29.99,https://apps.shopify.com/dreamsections
loadbee,loadbee Premium Content Plugin,loadbee GmbH,,,,store-design-content-product-content,True,,,https://apps.shopify.com/loadbee
sentaiment-llmtext,Sentaiment ‑ Easy AI SEO App,Cinco AI Inc,"Make your store easy for AI to understand. Generates and installs your llms.txt file so ChatGPT, Claude, and Gemini can find and recommend your products..",,,store-design-site-optimization-seo,True,,,https://apps.shopify.com/sentaiment-llmtext
icarus-analytics-app,Icarus Analytics,Icarus,,,,,False,,,https://apps.shopify.com/icarus-analytics-app
product-forge,Product Forge Customizer,Product Forge,"Add custom fields, price rules, and conditional logic to your Shopify product pages. Personalise products to boost sales and customer satisfaction.",,,selling-products-custom-products-product-variants,True,9.99,19.99,https://apps.shopify.com/product-forge
fomio-sales-popups,Fomio Sales Popups,EGNITION,"Create popups to highlight offers, capture leads, and guide visitors to purchase with customizable templates, countdown timers, and AI support.",,,store-design-notifications-pop-ups,True,,,https://apps.shopify.com/fomio-sales-popups
stockalertpro-low-stock-alert,Stock Alert Pro: Low Stock,Quatro Apps,Prevent stockouts with StockAlertPro! Get timely low stock alerts for your Shopify store. Simplify inventory management and never miss a sale.,,,marketing-and-conversion-upsell-and-bundles-stock-alerts,True,4.99,9.99,https://apps.shopify.com/stockalertpro-low-stock-alert
gameball,Gameball: AI Loyalty & Games,Gameball,"Design your loyalty, rewards, and referrals program that converts new buyers into forever customers.",4.7,138.0,marketing-and-conversion-customer-loyalty-loyalty-and-rewards,True,34.0,159.0,https://apps.shopify.com/gameball
feed-google-shopping,Google Shopping Feed,PRT,Google Merchant Center - Feed XML Google Shopping,,,sales-channels-selling-online-product-feeds,True,39.0,149.0,https://apps.shopify.com/feed-google-shopping
saku-receipt,SAKU Simple Receipts,"MEMENTO, LLC",国内向け書式・軽減税率に完全対応。アプリ管理画面から簡単発行で作業削減。小規模ストアでも導入しやすい低価格✕シンプル設計。安くて導入しやすい！,5.0,4.0,orders-and-shipping-orders-invoices-and-receipts,True,4.99,4.99,https://apps.shopify.com/saku-receipt
walas-popup,Walas Popup,im_pact,"Create customizable storefront popups from your Shopify admin — announcements, promos, and offers — with page targeting and styling. No code required.",,,store-design-notifications-pop-ups,True,3.0,3.0,https://apps.shopify.com/walas-popup
delighted,Delighted Post‑Delivery Survey,"Delighted, LLC",,4.7,5.0,store-management-support-surveys,True,249.0,499.0,https://apps.shopify.com/delighted
packlink-pro,Packlink PRO Shipping Platform,AUCTANE S.L.U.,,4.8,860.0,orders-and-shipping-shipping-solutions-shipping,True,29.0,29.0,https://apps.shopify.com/packlink-pro
shieldkart,Shieldkart,ThePlanetSoft,,,,,True,,,https://apps.shopify.com/shieldkart
lecangs,Lecangs,Victor,,,,,True,,,https://apps.shopify.com/lecangs
price-sale-price-manager,Wi Flash Sale & Price Discount,WizzCommerce,"Easily run/schedule flash sale with countdown timer, bulk price editor & build discount. Best for Shopify stores with large inventory!",3.7,53.0,selling-products-pricing-pricing-optimization,True,7.99,21.99,https://apps.shopify.com/price-sale-price-manager
smart-seo,Sherpas: Smart SEO,Sherpas Design,,4.9,844.0,store-design-site-optimization-seo,True,14.99,49.99,https://apps.shopify.com/smart-seo
cifra-analytics,Cifra Analytics: Smart Reports,Cifra,"Know your real profit. Cifra pulls Shopify, Google Ads, Meta & Klaviyo data into custom dashboards with automated Slack & email reports. Free plan available.",5.0,1.0,store-management-operations-analytics,True,29.0,149.0,https://apps.shopify.com/cifra-analytics
biens-ai,Wordesk AI Chatbot & Live Chat,Biens Limited,"Boost customer support and sales with an AI assistant trained on your store’s content. Works across WhatsApp, Instagram, and web chat.",,,store-management-support-chat,True,19.99,89.99,https://apps.shopify.com/biens-ai
swipereel,SwipeReel: Shoppable Video UGC,ByteInfy,"Turn Instagram Reels, TikTok & UGC into shoppable video feeds on Shopify. Tag products, drive sales with social proof. Free plan available.",5.0,3.0,store-design-images-and-media-video-and-livestream,True,,,https://apps.shopify.com/swipereel
groovy-subscriptions,Groovy Subscriptions,Groovy Apps (Main),,5.0,1.0,selling-products-payments-subscriptions,True,29.0,89.0,https://apps.shopify.com/groovy-subscriptions
blogbuddy,BlogBuddy,Tarun R,"Bulk edit, create, and export Shopify blog articles in one place. Update titles, content, SEO, tags, and status across many posts, or optimize them with AI.",4.7,4.0,store-design-content-blogs,True,9.99,50.0,https://apps.shopify.com/blogbuddy
